[u'Lionel Messi'],"['96', '97']","['33', '26', '37']","['48', '95', '94', '40', '94', '96']","['88', '92', '92']","['91', '75', '68', '95', '84', '93', '68']","['70', '86', '95', '94', '93', '94', '75', '88']","['14', '6', '11', '15', '8']","['Beat Offside Trap', 'Argues With Officials', 'Early Crosser', 'Finesse Shot', 'Speed Dribbler (CPU AI Only)', '1-on-1 Rush', 'Giant Throw-in', 'Outside Foot Shot']"
[u'Cristiano Ronaldo'],"['92', '89']","['28', '24', '32']","['63', '96', '95', '29', '82', '95']","['84', '83', '77']","['89', '85', '78', '71', '91', '87', '95']","['89', '95', '94', '93', '81', '76', '85', '87']","['14', '7', '11', '15', '11']","['Long Throw-in', 'Selfish', 'Argues With Officials', 'Early Crosser', 'Speed Dribbler (CPU AI Only)', 'Skilled Dribbling']"
[u'Neymar Jr'],"['95', '96']","['27', '29', '26']","['51', '92', '87', '36', '90', '94']","['87', '87', '81']","['94', '81', '49', '84', '89', '96', '61']","['62', '80', '87', '84', '88', '87', '90', '87']","['15', '9', '9', '15', '11']","['Power Free-Kick', 'Injury Free', 'Selfish', 'Early Crosser', 'Speed Dribbler (CPU AI Only)', 'Fan Favourite']"
[u'Jan Oblak'],"['30', '12']","['27', '18', '12']","['34', '88', '11', '19', '65', '68']","['13', '43', '40']","['43', '41', '78', '49', '60', '67', '78']","['15', '59', '11', '12', '13', '14', '11', '13']","['90', '87', '92', '78', '89']","['Flair', 'Acrobatic Clearance']"
[u'Kevin De Bruyne'],"['91', '86']","['68', '51', '58']","['76', '91', '88', '61', '94', '91']","['93', '92', '91']","['77', '89', '74', '76', '76', '78', '63']","['55', '91', '82', '90', '85', '83', '79', '82']","['10', '15', '13', '5', '13']","['Power Free-Kick', 'Avoids Using Weaker Foot', 'Dives Into Tackles (CPU AI Only)', 'Leadership', 'Argues With Officials', 'Finesse Shot']"
[u'Eden Hazard'],"['94', '95']","['34', '22', '27']","['54', '90', '87', '41', '89', '91']","['81', '89', '83']","['94', '84', '63', '94', '88', '95', '56']","['61', '82', '84', '80', '83', '79', '88', '83']","['8', '11', '12', '6', '8']","['Beat Offside Trap', 'Selfish', 'Finesse Shot', 'Speed Dribbler (CPU AI Only)', 'Fan Favourite']"
[u'Mohamed Salah'],"['89', '89']","['38', '41', '43']","['63', '92', '92', '55', '84', '91']","['79', '84', '75']","['94', '85', '75', '90', '92', '91', '69']","['59', '80', '90', '84', '83', '69', '81', '79']","['11', '14', '14', '9', '14']","['Injury Free', 'Beat Offside Trap', 'Argues With Officials', 'Early Crosser', 'Speed Dribbler (CPU AI Only)', 'Outside Foot Shot']"
[u'Virgil van Dijk'],"['76', '70']","['91', '85', '92']","['82', '88', '47', '89', '65', '89']","['53', '78', '81']","['74', '75', '92', '53', '79', '61', '90']","['86', '81', '52', '64', '60', '70', '62', '45']","['11', '13', '10', '13', '11']","['Diver', 'Avoids Using Weaker Foot', 'Leadership', 'Long Passer (CPU AI Only)']"
[u'Marc-Andr\xe9 ter Stegen'],"['30', '21']","['25', '10', '13']","['43', '86', '11', '22', '70', '70']","['18', '61', '63']","['38', '35', '78', '43', '50', '37', '79']","['11', '66', '14', '10', '18', '12', '25', '14']","['88', '88', '85', '88', '90']","['Swerve Pass', 'Acrobatic Clearance', 'Flair Passes']"
[u'Robert Lewandowski'],"['88', '85']","['34', '19', '42']","['81', '90', '91', '39', '77', '86']","['62', '82', '65']","['77', '78', '84', '82', '77', '78', '84']","['85', '87', '90', '84', '77', '85', '86', '88']","['8', '15', '6', '12', '10']","['Diver', 'Beat Offside Trap', 'Speed Dribbler (CPU AI Only)', 'Outside Foot Shot']"
[u'Luka Modri\u0107'],"['92', '87']","['68', '71', '76']","['62', '89', '79', '82', '91', '92']","['86', '92', '88']","['77', '85', '58', '93', '71', '92', '68']","['55', '79', '72', '82', '85', '78', '82', '76']","['14', '13', '9', '7', '9']","['Argues With Officials', 'Finesse Shot', 'Speed Dribbler (CPU AI Only)', 'Fan Favourite']"
[u'Kylian Mbapp\xe9'],"['90', '91']","['34', '32', '34']","['62', '89', '89', '38', '80', '84']","['78', '82', '70']","['96', '84', '76', '83', '96', '92', '76']","['77', '83', '89', '79', '79', '63', '70', '79']","['11', '13', '5', '7', '6']","['Beat Offside Trap', 'Selfish', 'Early Crosser', 'Speed Dribbler (CPU AI Only)', 'Fan Favourite']"
"[u""N'Golo Kant\xe9""]","['80', '79']","['90', '85', '91']","['90', '93', '72', '92', '79', '85']","['68', '86', '81']","['79', '97', '73', '92', '77', '82', '77']","['54', '71', '65', '63', '49', '49', '54', '56']","['7', '15', '12', '10', '10']",['Diver']
[u'Alisson'],"['30', '27']","['15', '16', '19']","['27', '88', '13', '11', '66', '65']","['17', '45', '44']","['56', '32', '78', '37', '47', '40', '52']","['19', '64', '13', '14', '19', '18', '23', '20']","['90', '85', '84', '85', '89']","['Flair', 'Swerve Pass']"
