[u'Kevin De Bruyne'],"['91', '86']","['68', '51', '58']","['76', '91', '88', '61', '94', '91']","['93', '92', '91']","['77', '89', '74', '76', '76', '78', '63']","['55', '91', '82', '90', '85', '83', '79', '82']","['10', '15', '13', '5', '13']","['Power Free-Kick', 'Avoids Using Weaker Foot', 'Dives Into Tackles (CPU AI Only)', 'Leadership', 'Argues With Officials', 'Finesse Shot']"
[u'Mohamed Salah'],"['89', '89']","['38', '41', '43']","['63', '92', '92', '55', '84', '91']","['79', '84', '75']","['94', '85', '75', '90', '92', '91', '69']","['59', '80', '90', '84', '83', '69', '81', '79']","['11', '14', '14', '9', '14']","['Injury Free', 'Beat Offside Trap', 'Argues With Officials', 'Early Crosser', 'Speed Dribbler (CPU AI Only)', 'Outside Foot Shot']"
[u'Virgil van Dijk'],"['76', '70']","['91', '85', '92']","['82', '88', '47', '89', '65', '89']","['53', '78', '81']","['74', '75', '92', '53', '79', '61', '90']","['86', '81', '52', '64', '60', '70', '62', '45']","['11', '13', '10', '13', '11']","['Diver', 'Avoids Using Weaker Foot', 'Leadership', 'Long Passer (CPU AI Only)']"
"[u""N'Golo Kant\xe9""]","['80', '79']","['90', '85', '91']","['90', '93', '72', '92', '79', '85']","['68', '86', '81']","['79', '97', '73', '92', '77', '82', '77']","['54', '71', '65', '63', '49', '49', '54', '56']","['7', '15', '12', '10', '10']",['Diver']
[u'Alisson'],"['30', '27']","['15', '16', '19']","['27', '88', '13', '11', '66', '65']","['17', '45', '44']","['56', '32', '78', '37', '47', '40', '52']","['19', '64', '13', '14', '19', '18', '23', '20']","['90', '85', '84', '85', '89']","['Flair', 'Swerve Pass']"
[u'Harry Kane'],"['84', '80']","['56', '38', '36']","['78', '91', '93', '35', '81', '91']","['75', '81', '83']","['68', '87', '84', '73', '72', '71', '79']","['86', '90', '94', '86', '78', '68', '90', '85']","['14', '8', '10', '11', '11']","['Injury Free', 'Avoids Using Weaker Foot', 'Argues With Officials', 'Giant Throw-in']"
[u'De Gea'],"['38', '18']","['25', '13', '21']","['38', '87', '12', '30', '65', '68']","['17', '50', '47']","['57', '43', '60', '43', '58', '63', '67']","['21', '61', '13', '12', '21', '19', '29', '13']","['85', '90', '84', '81', '92']","['Flair', 'Second Wind', 'Flair Passes']"
[u'Sergio Ag\xfcero'],"['89', '88']","['30', '24', '29']","['65', '92', '93', '24', '83', '90']","['70', '83', '64']","['82', '79', '74', '91', '78', '84', '81']","['78', '89', '93', '84', '83', '73', '83', '85']","['11', '13', '15', '6', '14']","['Avoids Using Weaker Foot', 'Outside Foot Shot']"
[u'Ederson'],"['40', '23']","['29', '8', '15']","['38', '87', '20', '27', '70', '70']","['20', '56', '58']","['64', '41', '68', '48', '63', '60', '66']","['14', '70', '14', '18', '15', '20', '17', '18']","['86', '86', '82', '93', '88']","['Leadership', 'Swerve Pass', 'Acrobatic Clearance']"
[u'Sadio Man\xe9'],"['87', '89']","['42', '38', '42']","['75', '90', '90', '35', '83', '84']","['74', '81', '71']","['95', '85', '67', '86', '93', '92', '86']","['81', '84', '87', '77', '76', '64', '71', '75']","['7', '10', '10', '15', '14']","['Selfish', 'Early Crosser']"
[u'Raheem Sterling'],"['88', '89']","['47', '47', '53']","['38', '89', '91', '30', '79', '79']","['78', '84', '69']","['96', '79', '54', '94', '91', '94', '57']","['38', '76', '83', '77', '75', '63', '69', '67']","['15', '15', '12', '12', '9']","['Selfish', 'Early Crosser']"
[u'Paul Pogba'],"['90', '87']","['63', '65', '67']","['78', '82', '83', '64', '88', '87']","['80', '86', '90']","['67', '87', '89', '66', '79', '75', '82']","['75', '90', '75', '82', '85', '82', '83', '84']","['4', '5', '6', '2', '3']","['Selfish', 'Leadership', 'Argues With Officials', 'Finesse Shot', 'Fan Favourite']"
[u'Christian Eriksen'],"['91', '81']","['59', '22', '57']","['46', '88', '85', '56', '92', '88']","['88', '91', '89']","['75', '93', '57', '80', '71', '79', '50']","['52', '84', '77', '89', '89', '86', '67', '80']","['7', '9', '14', '7', '6']","['Selfish', 'Argues With Officials', 'Finesse Shot']"
[u'Pierre-Emerick Aubameyang'],"['82', '79']","['27', '36', '25']","['43', '87', '90', '48', '77', '85']","['76', '77', '64']","['93', '78', '74', '69', '95', '76', '79']","['78', '82', '89', '79', '80', '74', '76', '86']","['9', '6', '9', '15', '9']","['Diver', 'Beat Offside Trap', 'Early Crosser', 'Speed Dribbler (CPU AI Only)', 'Outside Foot Shot']"
[u'David Silva'],"['92', '87']","['59', '29', '53']","['57', '89', '88', '50', '91', '92']","['84', '92', '84']","['69', '73', '48', '88', '61', '87', '64']","['54', '72', '72', '73', '82', '77', '75', '82']","['6', '6', '15', '7', '12']","['Beat Offside Trap', 'Selfish', 'Finesse Shot']"
[u'Hugo Lloris'],"['34', '10']","['29', '18', '10']","['31', '86', '10', '27', '30', '65']","['13', '50', '50']","['65', '41', '43', '54', '62', '55', '74']","['10', '51', '10', '14', '11', '10', '40', '11']","['84', '89', '82', '68', '91']","['Swerve Pass', 'Acrobatic Clearance']"
[u'Bernardo Silva'],"['92', '92']","['49', '40', '59']","['69', '85', '85', '49', '85', '87']","['85', '86', '74']","['85', '93', '54', '92', '78', '94', '51']","['51', '74', '78', '75', '84', '67', '68', '69']","['12', '9', '10', '14', '9']","['Selfish', 'Finesse Shot', 'Fan Favourite']"
[u'Aymeric Laporte'],"['77', '63']","['88', '88', '89']","['79', '87', '54', '87', '65', '85']","['58', '81', '80']","['61', '78', '85', '60', '66', '59', '78']","['86', '68', '45', '47', '61', '69', '44', '40']","['14', '10', '11', '5', '5']",['Leadership']
[u'Roberto Firmino'],"['89', '89']","['60', '42', '64']","['73', '88', '87', '58', '87', '88']","['72', '86', '76']","['78', '88', '74', '83', '77', '80', '81']","['78', '81', '85', '78', '80', '65', '72', '81']","['6', '8', '11', '9', '10']","['Selfish', 'Finesse Shot', 'Outside Foot Shot', 'Fan Favourite']"
[u'Heung Min Son'],"['87', '88']","['48', '33', '34']","['60', '89', '88', '39', '81', '87']","['81', '83', '70']","['86', '87', '62', '76', '89', '86', '63']","['65', '88', '86', '90', '85', '70', '71', '81']","['6', '11', '13', '13', '10']","['Diver', 'Beat Offside Trap', 'Argues With Officials', 'Early Crosser']"
